2024-02-17 16:02:25,给大家拜个晚年，祝大家晚年幸福！
2023-10-24 14:26:34,好玩啊好玩啊～
2023-10-16 11:55:05,一晃又鸽七天
2023-10-14 15:24:29,白天得好好休息啊，晚上还要睡觉呢
2023-10-09 20:15:01,更过了，休息休息
2023-10-09 12:30:01,
2023-10-08 09:15:01,明天更新！
2023-10-07 21:15:01,后天更新！
2023-10-07 18:00:01,巴以又打起来了……
2023-10-06 12:45:01,国庆假期过去啦～
2023-10-01 19:15:02,祝大家国庆快乐！出去旅游人太多的话记得回头是岸～
2023-09-29 11:30:01,看动态！
2023-09-29 09:15:01,亚阿冲突尘埃落定了
2023-09-27 17:15:01,给大家拜个早年！
2023-09-22 11:30:01,通辽的八月过去了
2023-09-21 14:45:01,明天就更！
2023-09-17 20:00:01,下期就是小国了，先复习一下尼加拉瓜上吧！
2023-09-14 17:45:01,好家伙，居然忘了更签名了！
2023-09-09 23:36:54,鸽叔翰
2023-09-07 19:51:32,通辽的八月还没结束！！
2023-09-04 21:16:07,我发现我好久没说偷袭了！
2023-09-03 21:49:38,啦啦啦啦啦啦噜啦噜啦嘞
2023-08-31 17:43:22,下期视频将会在更新的时候更新
2023-08-31 12:22:22,本来想一天更两个视频，但B站一天只能发一个啊！
2023-08-31 11:07:49,马上更！
2023-08-30 16:51:20,明天，一定给大家整个好活！
2023-08-29 21:33:05,我的建议是先重温特鲁希略那期，下期视频有他出场
2023-08-29 10:20:02,有必要明确一下通辽历法了
2023-08-26 22:25:32,(●'◡'●)
2023-08-23 22:00:47,这个月肯定更
2023-08-21 20:03:29,太长了，要不鸽了吧！
2023-08-20 21:50:04,下期小国可太长了，分两期都太长了
2023-08-18 21:28:26,一步踏错终身错～
2023-08-17 21:42:23,我要唱歌！！！
2023-08-15 21:14:03,我宣布，我宣布了！
2023-08-13 08:58:59,我宣布我以后每期节目开头都要说自我介绍
2023-08-12 20:26:59,一会就更！
2023-08-11 20:19:53,明天更新
2023-08-09 11:50:02,本月争取更俩小国
2023-08-07 10:50:02,鸽剧魅影
2023-08-06 16:50:02,让我们红尘作伴活的潇潇洒洒～
2023-08-04 11:50:01,啊，通辽的一周又过去了
2023-08-03 15:10:02,明天，明天一定！
2023-08-02 12:30:02,屡破拖更记录啊
2023-07-31 11:30:02,好家伙，一鸽半个月
2023-07-28 08:00:02,别找我，我去打素材去了
2023-07-25 10:10:02,我宣布我网名改叫花开富贵
2023-07-24 22:40:02,写了篇新稿，写的挺好
2023-07-24 14:20:02,换了新手机，开心
2023-07-22 19:00:02,吃了吗您那？
2023-07-20 14:40:01,通辽，避暑胜地（不是）
2023-07-16 10:10:02,通辽，避暑胜地
2023-07-13 17:30:07,哗啦啦啦啦下雨了～
2023-07-11 21:50:02,来吧，大家提提意见，下期更哪个小国吧，也说说推荐理由，俄乌这种不算。
2023-07-11 08:10:02,嘿嘿
2023-07-08 18:40:04,更过了更过了
2023-07-07 16:30:01,快更了快更了
2023-07-04 13:40:02,旧视频，旧视频就不能多看几遍吗？
2023-07-01 15:50:03,通辽画师们最近甚为勤劳，值得嘉奖
2023-07-01 14:40:02,生姜——食物界的伪装大王
2023-06-30 09:10:03,通辽啊通辽～是个遥远的地方～
2023-06-28 09:50:03,号令群鸽
2023-06-26 19:50:02,拖更，何尝不是一种浪漫。
2023-06-25 11:10:03,不用探了，散会！
2023-06-24 20:10:03,再探，再报！
2023-06-24 13:50:03,有消息速速哭墙报来！
2023-06-22 11:20:02,更了，有德
2023-06-21 12:20:02,明天更，我有德啊
2023-06-21 11:10:03,明天更
2023-06-20 10:40:03,吃到了超级好吃的小零食，为了防止大家说我打广告，名字我就不透露了。
2023-06-20 09:40:03,吃到了资格超级好吃的小零食，为了防止大家说我打广告，名字我就不透露了。
